trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9998716057015847}",20,0,-71.35269405964546,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9998351414635922}",25,0,-183.5428955668548,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9997883224052029}",20,0,-105.3596954461475,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9997282087590872}",25,0,-53.4774010436234,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9996510266096373}",30,0,-144.77513670470387,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9995519315056496}",25,0,-158.7134745492683,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9994247052779027}",25,0,-135.48778476014442,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9992613673136314}",20,7,-19.561728549568233,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9990516763597113}",30,0,-66.40232653458479,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9987824923684765}",20,0,-74.85421934726686,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9984369596335543}",20,0,-147.3387947254323,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9979934621018126}",30,0,-123.37363718882658,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9974242888592503}",25,5,-50.7579151217774,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.9966939319223467}",25,0,-168.22335139212888,"{0: 10, 1: 4, 2: 8, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9957569192123553}",25,0,-158.5726948094502,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9945550626978072}",30,0,-61.07939560508622,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9930139752847214}",20,0,-154.6359442284042,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9910386809932821}",25,0,-210.22824380636885,"{0: 10, 1: 3, 2: 9, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.9885081135609788}",25,0,-161.6840125262738,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.9852682735980237}",20,0,-154.5972054048619,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.9811238027233914}",25,0,-150.56979712512376,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.9758277505599164}",35,0,-85.51066792835229,"{0: 26, 1: 4, 2: 3, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9690693839138059}",30,0,-160.23932089804458,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.9604600607663881}",20,13,-43.86140085959627,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
25,False,"{'a': 0.5, 'e': 0.9495175338785748}",20,0,-44.182869586216704,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.93564966387145}",30,0,-169.50324729418304,"{0: 19, 1: 2, 2: 4, 3: 3, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.918139557723054}",20,0,-100.66462408100273,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.8961357992372057}",25,0,-24.62052337963784,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.8686539192028123}",20,0,-34.74423573241924,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.8345987225447565}",30,0,-154.01472128014333,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.7928214491019108}",20,0,-103.54734205618487,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.7422302316474071}",25,0,-93.5917605615846,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.6819747930602145}",30,0,-22.537615330699214,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.6117222838439393}",25,2,-133.77133108172544,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 3}",1
35,False,"{'a': 0.5, 'e': 0.5320228652297629}",25,11,-49.20246755848592,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.4447208963693673}",30,0,-32.2720061278715,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.3532933414038566}",20,3,-26.14835664814848,"{0: 14, 1: 1, 2: 0, 3: 2, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.2629023304295708}",20,0,27.394755257670337,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.17988763357672632}",20,0,18.193983288325736,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.11051029670878287}",20,0,26.80730186558528,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
