trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9}",20,0,-45.171983077043585,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.81}",25,0,-101.66263683443427,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.7290000000000001}",20,0,-84.49843725133883,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.6561}",20,0,-23.2664335733334,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.5904900000000001}",20,9,-53.34612796787614,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.531441}",30,0,-126.45491549967537,"{0: 21, 1: 4, 2: 1, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.4782969000000001}",20,0,-27.46970016958037,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.4304672100000001}",25,0,-15.790724628437218,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.3874204890000001}",25,0,-51.10997053546009,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.3486784401000001}",20,0,-23.632926278077008,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.31381059609000006}",20,0,-79.89358167548338,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.2824295364810001}",25,0,-25.927720090980877,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.2541865828329001}",20,0,-5.260424939267185,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
