trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-139.0605511660416,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-151.81877486852642,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.970299}",35,0,-187.7849629693378,"{0: 22, 1: 2, 2: 7, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",30,0,-138.0781127660926,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-76.19995900681344,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",25,0,-74.81419818439095,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-197.16411468134683,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",30,0,-152.40291561775783,"{0: 19, 1: 5, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,9,-69.43793289999128,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-67.08086511877478,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,0,-84.97384068746797,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,0,-92.0123507683092,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",30,0,-155.32247235859163,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,0,-15.866493341068129,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",25,0,-149.80052294786785,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",20,0,-34.34663611156258,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,0,-77.75443620538464,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",25,8,-34.793744110014934,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",25,15,-12.015716868564283,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
