trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.6216099682706645}",25,0,-65.47672610310028,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': -0.2272020946930871}",25,0,-189.56891273608005,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': -0.9040721420170612}",20,0,-77.94604624599671,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': -0.896758416334147}",20,6,22.18319602432932,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': -0.21079579943077972}",25,0,-80.56954024446117,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6346928759426346}",20,0,-36.49273343180643,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9998586363834151}",20,0,-123.71575606764775,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.6083513145322546}",20,15,4.6409324988380485,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': -0.2435441537357911}",25,0,5.224652701539938,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': -0.9111302618846769}",20,6,-16.90101335627839,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': -0.8891911526253609}",20,0,4.498854625048508,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': -0.1943299064553348}",30,15,31.971996619524525,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.6475963386538773}",30,0,-102.04822403002744,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9994345855010047}",25,0,-219.3551807363484,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.594920663309892}",20,2,-56.193696424196375,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': -0.25981735621375585}",25,0,-9.561920511978148,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': -0.9179307804142933}",20,0,4.716432085212274,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': -0.8813724903622346}",25,15,18.975523274347434,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': -0.17780907112311564}",20,8,19.725527769783227,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.6603167082440802}",30,0,-116.7441058728652,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9987279672435014}",25,0,-127.27561376584124,"{0: 10, 1: 5, 2: 9, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.5813218118144357}",30,15,-107.81270028813228,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 2}",1
23,False,"{'a': 0.5, 'e': -0.27601710124946705}",20,16,7.6776219930513365,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,1,24.846078000010415,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",30,13,24.466733150599147,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,16,6.100774864445511,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,5,-13.093236647678365,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,1,28.147244148492618,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,15,8.978789462852701,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,30.078890689100284,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,22.736795425527937,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,12,14.527059456989335,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,21,18.846819603113143,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
