trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-157.81398957232685,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-186.17938354154978,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-101.33511432901801,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-95.69506809313401,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-184.0214199165159,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-118.85196567133767,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",25,7,-69.19989403444431,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,14,-15.227035216939717,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-236.26139011966217,"{0: 7, 1: 3, 2: 5, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-102.80028707878796,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",30,0,-177.21520365761248,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-114.47111255021757,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",25,0,-112.05321175522519,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-68.37552761418846,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-133.68019708997795,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,6,-31.688336601701668,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",25,0,-82.08602610856907,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",25,0,-63.3428301404297,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-104.56299390903952,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,0,-58.81073880171223,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8105842459701871}",20,0,-49.90281970580703,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",25,0,-124.5198627532794,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.794533602503334}",25,4,-199.5764133604476,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 3}",1
24,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,0,-133.48237341580992,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.7788007830714049}",25,0,-48.601883902968744,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.7710515858035663}",25,10,-36.18879747993172,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
27,False,"{'a': 0.5, 'e': 0.7633794943368531}",30,0,-179.28708132667418,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,0,-114.62515190164382,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.7482635675785653}",25,0,-147.70095814767038,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,0,-37.512877052763784,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7334469562242892}",25,2,-107.22062697738839,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 2}",1
32,False,"{'a': 0.5, 'e': 0.7261490370736909}",25,0,-88.99670929006925,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7189237334319262}",20,10,-1.4333997989519447,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.7117703227626097}",20,0,-60.12680025117266,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.7046880897187134}",25,0,-77.04233077825592,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.697676326071031}",20,0,-61.58428474401403,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.6907343306373547}",20,4,-40.9582855153006,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
38,False,"{'a': 0.5, 'e': 0.6838614092123558}",25,0,-104.79391394789216,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.6770568744981647}",30,11,-41.03630729209377,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.6703200460356393}",25,0,-48.86863725903194,"{0: 20, 1: 3, 2: 0, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.6636502501363194}",25,0,-140.66808624655204,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,5,-69.95173716842702,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.6505090947233165}",20,5,-2.455538120364076,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6440364210831414}",20,10,8.37203995836893,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.6376281516217733}",20,0,-32.79375027329147,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.631283645506926}",25,0,-81.25294951107249,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.6250022682827008}",30,12,10.122287143748217,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.6187833918061408}",20,15,-13.661544758726862,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.6126263941844161}",20,7,3.0913661600718387,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,12,4.839270558962018,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.6004955788122659}",35,1,-49.38666956983831,"{0: 28, 1: 2, 2: 2, 3: 1, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,0,-50.67416705730624,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.5886049696783552}",30,12,-111.5288020918719,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 3}",1
54,False,"{'a': 0.5, 'e': 0.5827482523739896}",25,11,5.371125654539828,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5769498103804866}",25,0,-71.88629028290526,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,13,6.717903934462302,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.5655254386995371}",25,3,-84.67323953878926,"{0: 12, 1: 4, 2: 5, 3: 0, 4: 1}",1
58,False,"{'a': 0.5, 'e': 0.559898366565402}",30,18,-14.09284367148376,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.5543272847345071}",35,13,-59.40926512873835,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 2}",1
60,False,"{'a': 0.5, 'e': 0.5488116360940265}",25,12,-6.013402693908278,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.5433508690744998}",20,11,-7.843547304995701,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.5379444375946745}",30,15,-69.72757372044903,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.5325918010068972}",25,11,-5.980271699693043,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.5272924240430485}",25,7,13.000802212335882,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.522045776761016}",30,24,10.431375789301939,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5168513344916992}",20,0,11.420574716164518,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5117085777865424}",25,12,-46.12953338901759,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 0}",1
