trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-82.19251682036877,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-55.216947245945704,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-105.78361875516019,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-38.068188417047125,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",30,0,-108.96058799247935,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-47.10986479650426,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",25,0,-43.68281348362467,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-105.62651159742579,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",30,0,-98.3064701109433,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,11,13.681471603447912,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,6,-9.6417652142076,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-89.80659243328456,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",25,0,-163.28686461581617,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",25,11,5.19339705544047,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",30,11,-59.79396654797169,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-180.0116447192575,"{0: 15, 1: 3, 2: 2, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-179.63392271599133,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-121.82922617440761,"{0: 13, 1: 4, 2: 0, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",25,1,-133.17276121520598,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 2}",1
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-131.69975999277085,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8105842459701871}",20,0,-34.04373214013342,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",25,0,-35.62078790377906,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.794533602503334}",25,0,-26.59309588713932,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.7866278610665535}",20,0,-82.89834872834479,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7788007830714049}",25,0,-187.00155989096586,"{0: 13, 1: 2, 2: 5, 3: 3, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.7710515858035663}",25,0,-131.74772393646472,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.7633794943368531}",25,11,-15.58511459108625,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,0,-145.56376617222438,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.7482635675785653}",20,5,-77.63259175887572,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,0,-81.15903937389473,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.7334469562242892}",30,0,-139.21121970792342,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.7261490370736909}",20,0,-2.6522388925259506,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.7189237334319262}",25,17,-48.81828198494651,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
