trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9048374180359595}",35,0,-213.02170717875717,"{0: 21, 1: 5, 2: 5, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-97.70203079801055,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.7408182206817179}",30,0,-140.83299406104234,"{0: 20, 1: 0, 2: 7, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.6703200460356393}",25,0,-96.49132838992941,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.6065306597126334}",25,0,-73.66087585547366,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.5488116360940264}",30,0,-78.19743960625033,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.49658530379140947}",25,0,-36.175378831201634,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,0,7.666749542541026,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,0,-16.04817098610517,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,0,-38.18163287831404,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.33287108369807955}",20,0,-9.596840567476152,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.301194211912202}",20,0,-50.03885969464011,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.2725317930340126}",25,0,-0.8671553283794473,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.24659696394160643}",20,0,-35.14652908227355,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,14,11.81850380635413,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.20189651799465538}",25,15,18.11421148114081,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1826835240527346}",25,0,32.1205560522662,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.16529888822158653}",25,0,7.991681691470717,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.14956861922263504}",20,0,-23.483678171217285,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.1353352832366127}",25,0,5.0629034644259985,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.1224564282529819}",20,11,13.591199965127585,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.11080315836233387}",20,0,29.078313859729022,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.1002588437228037}",20,0,-22.13802538962449,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.09071795328941247}",25,0,14.460655805153703,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.0820849986238988}",20,6,20.887635519019508,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.07427357821433388}",30,0,32.61503794929725,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.06720551273974976}",30,0,11.587300369190114,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.06081006262521795}",20,0,22.18283441145708,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.05502322005640721}",25,0,38.616224511619976,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.049787068367863944}",20,0,26.14167531373284,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,17.208941498165746,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,32.06506187116385,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,30.481243751126915,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,27.856581828420182,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,3,21.482983232059386,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,11,21.467496914752786,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,0,33.806066298709034,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,38.40305843696988,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,30.72309847566325,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,33.30637907783882,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
