trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 0.9048374180359595}",25,0,-33.25271990297163,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.99, 'e': 0.8187307530779818}",20,11,-38.72836109726018,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
3,False,"{'a': 0.99, 'e': 0.7408182206817179}",20,0,-122.8511976320443,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.99, 'e': 0.6703200460356393}",20,0,-81.38596679805319,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.99, 'e': 0.6065306597126334}",20,0,-159.00723871374078,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.99, 'e': 0.5488116360940264}",25,12,-14.136311078038565,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
7,False,"{'a': 0.99, 'e': 0.49658530379140947}",20,0,-102.29466180049606,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
8,False,"{'a': 0.99, 'e': 0.44932896411722156}",20,0,-40.35567714914201,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.99, 'e': 0.4065696597405991}",20,0,-26.384467719528363,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.99, 'e': 0.36787944117144233}",25,0,-101.00793415389754,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.99, 'e': 0.33287108369807955}",25,0,11.750943465619597,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
12,False,"{'a': 0.99, 'e': 0.301194211912202}",20,0,-19.78802677711673,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.99, 'e': 0.2725317930340126}",30,0,-9.35914592680052,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.99, 'e': 0.24659696394160643}",25,0,-45.06975557240295,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.99, 'e': 0.22313016014842982}",25,0,-3.1596830774202544,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.99, 'e': 0.20189651799465538}",20,4,-36.990962567767596,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.99, 'e': 0.1826835240527346}",25,0,5.743717038643567,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.99, 'e': 0.16529888822158653}",20,0,-12.630780757546368,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.99, 'e': 0.14956861922263504}",20,0,25.371194545105322,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.99, 'e': 0.1353352832366127}",25,3,-10.900177214015798,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
21,False,"{'a': 0.99, 'e': 0.1224564282529819}",20,13,9.968961975589108,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.99, 'e': 0.11080315836233387}",35,15,-63.47508655465401,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",1
23,False,"{'a': 0.99, 'e': 0.1002588437228037}",30,0,16.156143276400538,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.99, 'e': 0.09071795328941247}",30,0,19.79789273871389,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
25,False,"{'a': 0.99, 'e': 0.0820849986238988}",20,0,-7.86115275258671,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
26,False,"{'a': 0.99, 'e': 0.07427357821433388}",20,4,24.903754211684042,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.99, 'e': 0.06720551273974976}",20,6,23.255921007282605,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.99, 'e': 0.06081006262521795}",25,14,20.208872705475276,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.99, 'e': 0.05502322005640721}",20,13,9.867157099621348,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.99, 'e': 0.049787068367863944}",30,8,26.401238730375457,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,0,17.027781388524325,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,5,-0.2651955564191686,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,0,31.00560020245454,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,33.7069561488277,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,6,20.001702427990264,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,7,10.598339433880875,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,14,11.945798249337185,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,16,15.573173535105624,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,4,29.42848178905732,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,17,12.651978161087323,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
