trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,0,-45.18025091066692,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.16529888822158653}",25,0,-163.8820264681758,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.06720551273974976}",20,5,-13.417376365395416,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.02732372244729256}",30,8,-83.47762688756906,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.011108996538242306}",20,16,5.326152495341361,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.004516580942612666}",25,0,11.371215775443902,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.0018363047770289071}",25,0,-18.303227331019038,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.0007465858083766792}",25,0,-14.975399520139234,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.0003035391380788668}",30,0,-31.8587841444644,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.00012340980408667956}",25,0,32.19282480176706,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 5.017468205617528e-05}",20,12,-39.6791453258541,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 2.0399503411171922e-05}",25,15,16.39702157875102,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 8.293819160757357e-06}",25,11,20.37181899204762,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 3.3720152341391845e-06}",30,0,-54.962636278058326,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.3709590863840845e-06}",30,13,25.938351710183028,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 5.573903692694596e-07}",20,0,16.94924182231983,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 2.26618012776571e-07}",20,4,-21.611544698534125,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 9.213600834566135e-08}",20,0,-30.208798556597287,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 3.745970556295245e-08}",30,0,25.93200455653625,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.522997974471263e-08}",25,0,22.469094732123395,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,0,22.75190946740188,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,11.638532842859899,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",35,0,45.43555351894437,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,10,18.82830223114672,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,12,11.706803128745952,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,16,9.108885777939161,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,23.389824422360107,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",35,12,34.988100974024086,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,0,30.759813492024783,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,12,-3.5451329223607027,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
