trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.5}",20,0,-100.21211816021078,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.5}",25,0,-172.66040496456486,"{0: 13, 1: 0, 2: 9, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.5}",20,0,-68.84072494711769,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.5}",35,0,-139.72591591616444,"{0: 22, 1: 3, 2: 7, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.5}",20,0,-223.63115913832002,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.5}",30,0,-79.04313723783477,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.5}",25,0,-181.0106590093382,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5}",20,0,-81.5769589550237,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5}",20,0,-135.50316894458388,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.5}",20,4,-49.41264010939475,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.5}",20,0,-78.74380968537676,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.5}",20,0,-86.93061632858651,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.5}",25,0,-182.84486702723663,"{0: 12, 1: 1, 2: 8, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.5}",20,0,-248.74629181698756,"{0: 6, 1: 3, 2: 6, 3: 1, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.5}",30,1,-201.6397349155364,"{0: 15, 1: 3, 2: 8, 3: 0, 4: 3}",1
16,False,"{'a': 0.5, 'e': 0.5}",20,0,-38.679466074761024,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.5}",20,0,-127.13504592262215,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.5}",20,0,-87.68261325694878,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.5}",20,0,-52.27830479391796,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.5}",30,0,-81.73644913882634,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 0.5}",20,0,-150.01761267892167,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 0.5}",25,0,-128.8694685458413,"{0: 17, 1: 4, 2: 1, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 0.5}",30,0,-128.0573527395581,"{0: 19, 1: 0, 2: 9, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 0.5}",20,0,-192.78507930728162,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
5,True,"{'a': 0.5, 'e': 0.5}",30,0,-120.9546263178382,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 0.5}",20,0,-146.67306840856014,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 0.5}",30,6,-340.88946753482315,"{0: 8, 1: 3, 2: 4, 3: 3, 4: 6}",1
8,True,"{'a': 0.5, 'e': 0.5}",25,0,-138.57003330256072,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
9,True,"{'a': 0.5, 'e': 0.5}",25,0,-48.89041365258847,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 0.5}",25,0,-130.5573973498412,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
